metodo,localizacao,nome,fase_apos_programa,faturamento_antes_do_programa,faturamento_apos_o_programa,empregos_gerados,fez_conexoes,para_voce_acelerar_o_seu_negocio_o_quanto_participar_do_inovativa_foi_importante,para_voce_crescer_a_sua_renda_o_quanto_participar_do_inovativa_foi_importante,para_voce_aumentar_a_sua_motivacao_e_comprometimento_o_quanto_participar_do_inovativa_foi_importante,para_voce_encontrar_novas_ideias_e_solucoes_para_o_seu_negocio_o_quanto_participar_do_inovativa_foi_importante,para_voce_ter_acesso_a_novos_clientes_o_quanto_participar_do_inovativa_foi_importante,para_voce_fazer_conexoes_relevantes_o_quanto_participar_do_inovativa_foi_importante,para_voce_melhorar_a_sua_competitividade_no_seu_mercado_de_atuacao_o_quanto_participar_do_inovativa_foi_importante,para_voce_ganhar_visibilidade_reconhecimento_e_credibilidade_o_quanto_participar_do_inovativa_foi_importante,satisfacao_metodologia,escolaridade,raca,genero,ramo,variacao_faturamento
On-line,Brasilândia,Startup Número 1,Fase de crescimento (aumentando o número de clientes),1500,5000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Médio completo,Branca/Branco,Cisgênero Masculino,Saúde,2.33333333333333
Presencial,Brasilândia,Startup Número 2,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,900,1400,0,Sim,Muito importante,Importante,Muito importante,Muito importante,Importante,Importante,Importante,Importante,Satisfeito,Superior incompleto,Amarela/Amarelo,Cisgênero Feminino,Educação,0.555555555555556
Presencial,Brasilândia,Startup Número 3,Validação - fase em que o produto ou serviço da startup é validado no mercado,500,4000,1,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior completo,Parda/Pardo,Cisgênero Masculino,Educação,7
On-line,Brasilândia,Startup Número 4,Validação - fase em que o produto ou serviço da startup é validado no mercado,9000,8000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Pós-graduação completo,Parda/Pardo,Cisgênero Feminino,Saúde,-0.111111111111111
On-line,Brasilândia,Startup Número 5,Fase de crescimento (aumentando o número de clientes),50,80,0,Sim,Muito importante,Importante,Muito importante,Muito importante,Importante,Importante,Importante,Importante,Muito satisfeito,Superior completo,Parda/Pardo,Cisgênero Feminino,Tecnologia da informação e Comunicação,0.6
On-line,Impactlândia,Startup Número 6,Fase de crescimento (aumentando o número de clientes),50,50,1,Sim,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Muito satisfeito,Superior completo,Preta/Preto,Cisgênero Masculino,Educação,0
On-line,Impactlândia,Startup Número 7,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,4000,7000,0,Sim,Importante,Importante,Importante,Importante,Importante,Importante,Muito importante,Muito importante,Satisfeito,Superior completo,Parda/Pardo,Cisgênero Feminino,Tecnologia da informação e Comunicação,0.75
On-line,Impactlândia,Startup Número 8,Fase de crescimento (aumentando o número de clientes),5000,20000,1,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior incompleto,Branca/Branco,Cisgênero Feminino,Saúde,3
On-line,Impactlândia,Startup Número 9,Fase de crescimento (aumentando o número de clientes),300,6000,0,Não,Importante,Razoavelmente importante,Importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Satisfeito,Superior completo,Parda/Pardo,Cisgênero Masculino,Educação,19
On-line,Terelândia,Startup Número 10,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,580,600,0,Não,Muito importante,Importante,Importante,Muito importante,Importante,Importante,Importante,Importante,Muito satisfeito,Médio completo,Parda/Pardo,Cisgênero Feminino,Tecnologia da informação e Comunicação,0.0344827586206897
On-line,Brasilândia,Startup Número 11,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,580,580,0,Sim,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Satisfeito,Superior completo,Não sei/não gostaria de declarar,Cisgênero Masculino,Saúde,0
On-line,Brasilândia,Startup Número 12,Fase de crescimento (aumentando o número de clientes),5000,5000,2,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior incompleto,Branca/Branco,Cisgênero Feminino,Varejo,0
On-line,Brasilândia,Startup Número 13,Fase de crescimento (aumentando o número de clientes),120,120,1,Não,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Razoavelmente importante,Importante,Muito satisfeito,Superior incompleto,Preta/Preto,Cisgênero Feminino,Tecnologia da informação e Comunicação,0
On-line,Inovatilândia,Startup Número 14,Validação - fase em que o produto ou serviço da startup é validado no mercado,7000,11000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior completo,Branca/Branco,Cisgênero Feminino,Saúde,0.571428571428571
On-line,Inovatilândia,Startup Número 15,Fase de crescimento (aumentando o número de clientes),3000,15000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior incompleto,Parda/Pardo,Cisgênero Masculino,Tecnologia da informação e Comunicação,4
On-line,Inovatilândia,Startup Número 16,Fase de crescimento (aumentando o número de clientes),1700,1800,0,Sim,Importante,Importante,Importante,Muito importante,Importante,Importante,Muito importante,Importante,Satisfeito,Superior completo,Parda/Pardo,Prefiro não responder,Saúde,0.0588235294117647
On-line,Inovatilândia,Startup Número 17,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,2000,2000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior completo,Branca/Branco,Cisgênero Feminino,Educação,0
On-line,Inovatilândia,Startup Número 18,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,5000,6000,0,Não,Importante,Razoavelmente importante,Importante,Importante,Pouco importante,Pouco importante,Razoavelmente importante,Pouco importante,Satisfeito,Superior completo,Branca/Branco,Prefiro não responder,Saúde,0.2
On-line,Inovatilândia,Startup Número 19,Fase de crescimento (aumentando o número de clientes),2000,4000,1,Sim,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Satisfeito,Médio completo,Branca/Branco,Cisgênero Masculino,Tecnologia da informação e Comunicação,1
On-line,Inovatilândia,Startup Número 20,Fase de crescimento (aumentando o número de clientes),3000,6000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Importante,Muito satisfeito,Superior completo,Parda/Pardo,Cisgênero Feminino,Saúde,1
On-line,Huberlândia,Startup Número 21,Fase de crescimento (aumentando o número de clientes),2000,8000,2,Não,Importante,Importante,Importante,Muito importante,Muito importante,Importante,Importante,Importante,Muito satisfeito,Pós-graduação completo,Parda/Pardo,Cisgênero Masculino,Tecnologia da informação e Comunicação,3
On-line,Huberlândia,Startup Número 22,Fase de crescimento (aumentando o número de clientes),450,800,1,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Médio completo,Parda/Pardo,Cisgênero Feminino,Varejo,0.777777777777778
On-line,Huberlândia,Startup Número 23,Fase de crescimento (aumentando o número de clientes),10,3000,1,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior completo,Branca/Branco,Cisgênero Feminino,Varejo,299
On-line,Huberlândia,Startup Número 24,Validação - fase em que o produto ou serviço da startup é validado no mercado,500,4000,0,Não,Importante,Sem importância,Importante,Importante,Pouco importante,Pouco importante,Importante,Muito importante,Satisfeito,Superior completo,Não sei/não gostaria de declarar,Cisgênero Feminino,Saúde,7
On-line,Huberlândia,Startup Número 25,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,9000,8000,0,Sim,Importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior completo,Parda/Pardo,Cisgênero Masculino,Saúde,-0.111111111111111
On-line,Brasilândia,Startup Número 26,Fase de crescimento (aumentando o número de clientes),50,80,0,Sim,Muito importante,Razoavelmente importante,Muito importante,Muito importante,Importante,Razoavelmente importante,Muito importante,Razoavelmente importante,Muito satisfeito,Pós-graduação completo,Parda/Pardo,Prefiro não responder,Saúde,0.6
On-line,Brasilândia,Startup Número 27,Validação - fase em que o produto ou serviço da startup é validado no mercado,50,50,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Pós-graduação completo,Parda/Pardo,Prefiro não responder,Varejo,0
On-line,Brasilândia,Startup Número 28,Fase de crescimento (aumentando o número de clientes),4000,7000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior completo,Branca/Branco,Cisgênero Feminino,Varejo,0.75
On-line,Inovatilândia,Startup Número 29,Fase de crescimento (aumentando o número de clientes),5000,20000,0,Sim,Importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Pouco importante,Mais ou menos satisfeito,Mestrado,Preta/Preto,Outro,Saúde,3
On-line,Inovatilândia,Startup Número 30,Fase de crescimento (aumentando o número de clientes),300,6000,0,Não,Pouco importante,Pouco importante,Sem importância,Pouco importante,Sem importância,Sem importância,Pouco importante,Pouco importante,Mais ou menos satisfeito,Superior completo,Preta/Preto,Cisgênero Feminino,Outro,19
On-line,Inovatilândia,Startup Número 31,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,580,600,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Pós-graduação completo,Parda/Pardo,Cisgênero Feminino,Varejo,0.0344827586206897
On-line,Inovatilândia,Startup Número 32,Fase de crescimento (aumentando o número de clientes),580,580,1,Sim,Muito importante,Razoavelmente importante,Importante,Importante,Muito importante,Muito importante,Razoavelmente importante,Muito importante,Satisfeito,Médio completo,Branca/Branco,Cisgênero Feminino,Varejo,0
On-line,Inovatilândia,Startup Número 33,Fase de crescimento (aumentando o número de clientes),5000,5000,1,Sim,Importante,Importante,Muito importante,Importante,Importante,Importante,Importante,Importante,Muito satisfeito,Pós-graduação incompleto,Preta/Preto,Cisgênero Feminino,Tecnologia da informação e Comunicação,0
On-line,Inovatilândia,Startup Número 34,Fase de crescimento (aumentando o número de clientes),120,120,0,Sim,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Pouco importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Satisfeito,Pós-graduação completo,Não sei/não gostaria de declarar,Cisgênero Feminino,Tecnologia da informação e Comunicação,0
On-line,Inovatilândia,Startup Número 35,Validação - fase em que o produto ou serviço da startup é validado no mercado,7000,11000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Satisfeito,Pós-graduação incompleto,Parda/Pardo,Cisgênero Feminino,Saúde,0.571428571428571
On-line,Inovatilândia,Startup Número 36,Validação - fase em que o produto ou serviço da startup é validado no mercado,3000,15000,1,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Fundamental completo,Parda/Pardo,Cisgênero Feminino,Saúde,4
On-line,Inovatilândia,Startup Número 37,Fase de crescimento (aumentando o número de clientes),1700,1800,1,Sim,Pouco importante,Pouco importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Pouco importante,Razoavelmente importante,Mais ou menos satisfeito,Pós-graduação completo,Branca/Branco,Cisgênero Feminino,Outro,0.0588235294117647
On-line,Inovatilândia,Startup Número 38,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,2000,2000,2,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Médio completo,Parda/Pardo,Prefiro não responder,Saúde,0
On-line,Inovatilândia,Startup Número 39,Fase de crescimento (aumentando o número de clientes),5000,6000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Satisfeito,Pós-graduação completo,Não sei/não gostaria de declarar,Cisgênero Masculino,Saúde,0.2
On-line,Saltópolis,Startup Número 40,Operação - a startup já conseguiu validar seu MVP e chegar à versão oficial do produto ou serviço,2000,4000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Razoavelmente importante,Importante,Muito importante,Muito importante,Muito satisfeito,Médio completo,Parda/Pardo,Cisgênero Feminino,Educação,1
On-line,Saltópolis,Startup Número 41,Fase de crescimento (aumentando o número de clientes),3000,6000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Pós-graduação incompleto,Parda/Pardo,Cisgênero Masculino,Outro,1
On-line,Saltópolis,Startup Número 42,Fase de crescimento (aumentando o número de clientes),2000,8000,0,Sim,Muito importante,Muito importante,Importante,Importante,Importante,Importante,Importante,Importante,Satisfeito,Superior completo,Parda/Pardo,Cisgênero Feminino,Tecnologia da informação e Comunicação,3
On-line,Saltópolis,Startup Número 43,Validação - fase em que o produto ou serviço da startup é validado no mercado,450,800,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Pós-graduação completo,Branca/Branco,Cisgênero Feminino,Outro,0.777777777777778
On-line,Saltópolis,Startup Número 44,Fase de crescimento (aumentando o número de clientes),40,10000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Superior incompleto,Parda/Pardo,Cisgênero Masculino,Outro,249
On-line,Saltópolis,Startup Número 45,Fase de crescimento (aumentando o número de clientes),2000,2000,0,Sim,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito satisfeito,Pós-graduação completo,Parda/Pardo,Cisgênero Feminino,Saúde,0
On-line,Saltópolis,Startup Número 46,Validação - fase em que o produto ou serviço da startup é validado no mercado,5000,6000,0,Não,Muito importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Satisfeito,Mestrado,Amarela/Amarelo,Cisgênero Feminino,Tecnologia da informação e Comunicação,0.2
On-line,Inovatilândia,Startup Número 47,Fase de crescimento (aumentando o número de clientes),3000,6000,1,Sim,Importante,Importante,Muito importante,Muito importante,Importante,Razoavelmente importante,Muito importante,Muito importante,Muito satisfeito,Superior completo,Branca/Branco,Cisgênero Feminino,Outro,1
On-line,Brasilândia,Startup Número 48,Validação - fase em que o produto ou serviço da startup é validado no mercado,3000,8000,0,Não,Importante,Importante,Muito importante,Razoavelmente importante,Razoavelmente importante,Razoavelmente importante,Importante,Importante,Muito satisfeito,Pós-graduação incompleto,Parda/Pardo,Cisgênero Feminino,Educação,1.66666666666667
On-line,Brasilândia,Startup Número 49,Fase de crescimento (aumentando o número de clientes),9000,13000,0,Sim,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Satisfeito,Médio completo,Preta/Preto,Cisgênero Feminino,Educação,0.444444444444444
On-line,Inovatilândia,Startup Número 50,Fase de crescimento (aumentando o número de clientes),1800,6000,0,Sim,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Satisfeito,Superior completo,Parda/Pardo,Cisgênero Masculino,Varejo,2.33333333333333
